v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,3445,0x1b919f109e60,1396,RecordWrite
code-creation,Builtin,3,3493,0x1b919f10a420,32,AdaptorWithExitFrame
code-creation,Builtin,3,3508,0x1b919f10a480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3521,0x1b919f10a4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3534,0x1b919f10a620,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3549,0x1b919f10a740,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3563,0x1b919f10a8a0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3576,0x1b919f10aa20,139,CallBoundFunction
code-creation,Builtin,3,3589,0x1b919f10ab00,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3603,0x1b919f10abc0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3616,0x1b919f10ac80,120,Call_ReceiverIsAny
code-creation,Builtin,3,3630,0x1b919f10ad40,1008,CallProxy
code-creation,Builtin,3,3642,0x1b919f10b180,81,CallVarargs
code-creation,Builtin,3,3655,0x1b919f10b220,1380,CallWithSpread
code-creation,Builtin,3,3668,0x1b919f10b7e0,1364,CallWithArrayLike
code-creation,Builtin,3,3681,0x1b919f10bd80,102,CallForwardVarargs
code-creation,Builtin,3,3694,0x1b919f10be40,102,CallFunctionForwardVarargs
code-creation,Builtin,3,3707,0x1b919f10bf00,26,ConstructFunction
code-creation,Builtin,3,3719,0x1b919f10bf60,139,ConstructBoundFunction
code-creation,Builtin,3,3733,0x1b919f10c040,43,ConstructedNonConstructable
code-creation,Builtin,3,3746,0x1b919f10c0c0,86,Construct
code-creation,Builtin,3,3758,0x1b919f10c160,81,ConstructVarargs
code-creation,Builtin,3,3771,0x1b919f10c200,1396,ConstructWithSpread
code-creation,Builtin,3,3784,0x1b919f10c7c0,1444,ConstructWithArrayLike
code-creation,Builtin,3,3802,0x1b919f10cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,3823,0x1b919f10cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3847,0x1b919f10cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,3867,0x1b919f10d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,3883,0x1b919f10d1c0,721,FastNewObject
code-creation,Builtin,3,3896,0x1b919f10d4e0,355,FastNewClosure
code-creation,Builtin,3,3908,0x1b919f10d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,3922,0x1b919f10d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,3935,0x1b919f10d920,246,CreateRegExpLiteral
code-creation,Builtin,3,3948,0x1b919f10da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,3962,0x1b919f10dd40,1536,CreateShallowArrayLiteral
code-creation,Builtin,3,3975,0x1b919f10e380,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,3989,0x1b919f10e9a0,1004,ConstructProxy
code-creation,Builtin,3,4001,0x1b919f10ede0,122,JSEntryTrampoline
code-creation,Builtin,3,4014,0x1b919f10eea0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,4027,0x1b919f10ef60,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,4040,0x1b919f10f100,17,InterruptCheck
code-creation,Builtin,3,4052,0x1b919f10f160,17,StackCheck
code-creation,Builtin,3,4064,0x1b919f10f1c0,727,StringCharAt
code-creation,Builtin,3,4077,0x1b919f10f4e0,838,StringCodePointAtUTF16
code-creation,Builtin,3,4090,0x1b919f10f880,846,StringCodePointAtUTF32
code-creation,Builtin,3,4102,0x1b919f10fc20,592,StringEqual
code-creation,Builtin,3,4115,0x1b919f10fec0,272,StringGreaterThan
code-creation,Builtin,3,4127,0x1b919f110020,272,StringGreaterThanOrEqual
code-creation,Builtin,3,4140,0x1b919f110180,1052,StringIndexOf
code-creation,Builtin,3,4152,0x1b919f1105e0,272,StringLessThan
code-creation,Builtin,3,4165,0x1b919f110740,272,StringLessThanOrEqual
code-creation,Builtin,3,4178,0x1b919f1108a0,190,StringRepeat
code-creation,Builtin,3,4191,0x1b919f1109a0,3006,StringSubstring
code-creation,Builtin,3,4203,0x1b919f1115a0,72,OrderedHashTableHealIndex
code-creation,Builtin,3,4217,0x1b919f111640,820,InterpreterEntryTrampoline
code-creation,Builtin,3,4230,0x1b919f1119c0,85,InterpreterPushArgsThenCall
code-creation,Builtin,3,4243,0x1b919f111a60,91,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,4257,0x1b919f111b00,88,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,4292,0x1b919f111ba0,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,4306,0x1b919f111c40,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,4321,0x1b919f111ce0,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,4335,0x1b919f111d80,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,4349,0x1b919f111ea0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,4362,0x1b919f111f40,75,InterpreterOnStackReplacement
code-creation,Builtin,3,4376,0x1b919f111fe0,832,CompileLazy
code-creation,Builtin,3,4388,0x1b919f112360,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,4402,0x1b919f109d40,201,DeserializeLazy
code-creation,Builtin,3,4414,0x1b919f112740,163,InstantiateAsmJs
code-creation,Builtin,3,4427,0x1b919f112840,47,NotifyDeoptimized
code-creation,Builtin,3,4439,0x1b919f1128c0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,4452,0x1b919f112940,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,4465,0x1b919f1129c0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,4478,0x1b919f112a40,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4492,0x1b919f112ac0,70,OnStackReplacement
code-creation,Builtin,3,4505,0x1b919f112b60,15,HandleApiCall
