v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,3617,0x3915ad989e60,1396,RecordWrite
code-creation,Builtin,3,3659,0x3915ad98a420,32,AdaptorWithExitFrame
code-creation,Builtin,3,3674,0x3915ad98a480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3687,0x3915ad98a4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3701,0x3915ad98a620,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3716,0x3915ad98a740,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3730,0x3915ad98a8a0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3744,0x3915ad98aa20,139,CallBoundFunction
code-creation,Builtin,3,3757,0x3915ad98ab00,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3770,0x3915ad98abc0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3784,0x3915ad98ac80,120,Call_ReceiverIsAny
code-creation,Builtin,3,3798,0x3915ad98ad40,1008,CallProxy
code-creation,Builtin,3,3810,0x3915ad98b180,81,CallVarargs
code-creation,Builtin,3,3823,0x3915ad98b220,1380,CallWithSpread
code-creation,Builtin,3,3836,0x3915ad98b7e0,1364,CallWithArrayLike
code-creation,Builtin,3,3849,0x3915ad98bd80,102,CallForwardVarargs
code-creation,Builtin,3,3862,0x3915ad98be40,102,CallFunctionForwardVarargs
code-creation,Builtin,3,3876,0x3915ad98bf00,26,ConstructFunction
code-creation,Builtin,3,3889,0x3915ad98bf60,139,ConstructBoundFunction
code-creation,Builtin,3,3902,0x3915ad98c040,43,ConstructedNonConstructable
code-creation,Builtin,3,3916,0x3915ad98c0c0,86,Construct
code-creation,Builtin,3,3928,0x3915ad98c160,81,ConstructVarargs
code-creation,Builtin,3,3941,0x3915ad98c200,1396,ConstructWithSpread
code-creation,Builtin,3,3955,0x3915ad98c7c0,1444,ConstructWithArrayLike
code-creation,Builtin,3,3968,0x3915ad98cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,3981,0x3915ad98cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3995,0x3915ad98cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,4008,0x3915ad98d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,4022,0x3915ad98d1c0,721,FastNewObject
code-creation,Builtin,3,4035,0x3915ad98d4e0,355,FastNewClosure
code-creation,Builtin,3,4047,0x3915ad98d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,4061,0x3915ad98d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,4075,0x3915ad98d920,246,CreateRegExpLiteral
code-creation,Builtin,3,4088,0x3915ad98da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,4102,0x3915ad98dd40,1536,CreateShallowArrayLiteral
code-creation,Builtin,3,4116,0x3915ad98e380,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,4130,0x3915ad98e9a0,1004,ConstructProxy
code-creation,Builtin,3,4142,0x3915ad98ede0,122,JSEntryTrampoline
code-creation,Builtin,3,4155,0x3915ad98eea0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,4169,0x3915ad98ef60,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,4182,0x3915ad98f100,17,InterruptCheck
code-creation,Builtin,3,4194,0x3915ad98f160,17,StackCheck
code-creation,Builtin,3,4207,0x3915ad98f1c0,727,StringCharAt
code-creation,Builtin,3,4219,0x3915ad98f4e0,838,StringCodePointAtUTF16
code-creation,Builtin,3,4233,0x3915ad98f880,846,StringCodePointAtUTF32
code-creation,Builtin,3,4246,0x3915ad98fc20,592,StringEqual
code-creation,Builtin,3,4259,0x3915ad98fec0,272,StringGreaterThan
code-creation,Builtin,3,4271,0x3915ad990020,272,StringGreaterThanOrEqual
code-creation,Builtin,3,4285,0x3915ad990180,1052,StringIndexOf
code-creation,Builtin,3,4298,0x3915ad9905e0,272,StringLessThan
code-creation,Builtin,3,4310,0x3915ad990740,272,StringLessThanOrEqual
code-creation,Builtin,3,4323,0x3915ad9908a0,190,StringRepeat
