v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,3385,0x265368209e60,1396,RecordWrite
code-creation,Builtin,3,3429,0x26536820a420,32,AdaptorWithExitFrame
code-creation,Builtin,3,3443,0x26536820a480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3457,0x26536820a4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3470,0x26536820a620,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3483,0x26536820a740,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3497,0x26536820a8a0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3510,0x26536820aa20,139,CallBoundFunction
code-creation,Builtin,3,3522,0x26536820ab00,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3535,0x26536820abc0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3548,0x26536820ac80,120,Call_ReceiverIsAny
code-creation,Builtin,3,3561,0x26536820ad40,1008,CallProxy
code-creation,Builtin,3,3573,0x26536820b180,81,CallVarargs
code-creation,Builtin,3,3585,0x26536820b220,1380,CallWithSpread
code-creation,Builtin,3,3597,0x26536820b7e0,1364,CallWithArrayLike
code-creation,Builtin,3,3610,0x26536820bd80,102,CallForwardVarargs
code-creation,Builtin,3,3622,0x26536820be40,102,CallFunctionForwardVarargs
code-creation,Builtin,3,3635,0x26536820bf00,26,ConstructFunction
code-creation,Builtin,3,3647,0x26536820bf60,139,ConstructBoundFunction
code-creation,Builtin,3,3660,0x26536820c040,43,ConstructedNonConstructable
code-creation,Builtin,3,3673,0x26536820c0c0,86,Construct
code-creation,Builtin,3,3684,0x26536820c160,81,ConstructVarargs
code-creation,Builtin,3,3697,0x26536820c200,1396,ConstructWithSpread
code-creation,Builtin,3,3710,0x26536820c7c0,1444,ConstructWithArrayLike
code-creation,Builtin,3,3722,0x26536820cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,3735,0x26536820cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3748,0x26536820cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,3760,0x26536820d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,3773,0x26536820d1c0,721,FastNewObject
code-creation,Builtin,3,3785,0x26536820d4e0,355,FastNewClosure
code-creation,Builtin,3,3797,0x26536820d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,3810,0x26536820d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,3823,0x26536820d920,246,CreateRegExpLiteral
code-creation,Builtin,3,3836,0x26536820da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,3849,0x26536820dd40,1536,CreateShallowArrayLiteral
code-creation,Builtin,3,3862,0x26536820e380,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,3875,0x26536820e9a0,1004,ConstructProxy
code-creation,Builtin,3,3887,0x26536820ede0,122,JSEntryTrampoline
code-creation,Builtin,3,3899,0x26536820eea0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,3912,0x26536820ef60,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,3925,0x26536820f100,17,InterruptCheck
code-creation,Builtin,3,3937,0x26536820f160,17,StackCheck
code-creation,Builtin,3,3949,0x26536820f1c0,727,StringCharAt
code-creation,Builtin,3,3961,0x26536820f4e0,838,StringCodePointAtUTF16
code-creation,Builtin,3,3973,0x26536820f880,846,StringCodePointAtUTF32
code-creation,Builtin,3,3986,0x26536820fc20,592,StringEqual
code-creation,Builtin,3,3998,0x26536820fec0,272,StringGreaterThan
code-creation,Builtin,3,4010,0x265368210020,272,StringGreaterThanOrEqual
code-creation,Builtin,3,4022,0x265368210180,1052,StringIndexOf
code-creation,Builtin,3,4034,0x2653682105e0,272,StringLessThan
code-creation,Builtin,3,4046,0x265368210740,272,StringLessThanOrEqual
code-creation,Builtin,3,4059,0x2653682108a0,190,StringRepeat
code-creation,Builtin,3,4072,0x2653682109a0,3006,StringSubstring
code-creation,Builtin,3,4084,0x2653682115a0,72,OrderedHashTableHealIndex
code-creation,Builtin,3,4097,0x265368211640,820,InterpreterEntryTrampoline
code-creation,Builtin,3,4110,0x2653682119c0,85,InterpreterPushArgsThenCall
code-creation,Builtin,3,4123,0x265368211a60,91,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,4136,0x265368211b00,88,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,4170,0x265368211ba0,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,4183,0x265368211c40,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,4197,0x265368211ce0,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,4211,0x265368211d80,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,4224,0x265368211ea0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,4237,0x265368211f40,75,InterpreterOnStackReplacement
code-creation,Builtin,3,4250,0x265368211fe0,832,CompileLazy
