v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,4653,0x8f853089e60,1396,RecordWrite
code-creation,Builtin,3,4717,0x8f85308a420,32,AdaptorWithExitFrame
code-creation,Builtin,3,4740,0x8f85308a480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,4763,0x8f85308a4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,4785,0x8f85308a620,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4808,0x8f85308a740,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4831,0x8f85308a8a0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,4852,0x8f85308aa20,139,CallBoundFunction
code-creation,Builtin,3,4873,0x8f85308ab00,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4895,0x8f85308abc0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4917,0x8f85308ac80,120,Call_ReceiverIsAny
code-creation,Builtin,3,4939,0x8f85308ad40,1008,CallProxy
code-creation,Builtin,3,4959,0x8f85308b180,81,CallVarargs
code-creation,Builtin,3,4980,0x8f85308b220,1380,CallWithSpread
code-creation,Builtin,3,5001,0x8f85308b7e0,1364,CallWithArrayLike
code-creation,Builtin,3,5022,0x8f85308bd80,102,CallForwardVarargs
code-creation,Builtin,3,5043,0x8f85308be40,102,CallFunctionForwardVarargs
code-creation,Builtin,3,5064,0x8f85308bf00,26,ConstructFunction
code-creation,Builtin,3,5084,0x8f85308bf60,139,ConstructBoundFunction
code-creation,Builtin,3,5105,0x8f85308c040,43,ConstructedNonConstructable
code-creation,Builtin,3,5127,0x8f85308c0c0,86,Construct
code-creation,Builtin,3,5147,0x8f85308c160,81,ConstructVarargs
code-creation,Builtin,3,5168,0x8f85308c200,1396,ConstructWithSpread
code-creation,Builtin,3,5190,0x8f85308c7c0,1444,ConstructWithArrayLike
code-creation,Builtin,3,5211,0x8f85308cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,5232,0x8f85308cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,5254,0x8f85308cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,5275,0x8f85308d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,5304,0x8f85308d1c0,721,FastNewObject
code-creation,Builtin,3,5326,0x8f85308d4e0,355,FastNewClosure
code-creation,Builtin,3,5354,0x8f85308d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,5372,0x8f85308d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,5390,0x8f85308d920,246,CreateRegExpLiteral
code-creation,Builtin,3,5407,0x8f85308da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,5425,0x8f85308dd40,1536,CreateShallowArrayLiteral
code-creation,Builtin,3,5443,0x8f85308e380,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,5462,0x8f85308e9a0,1004,ConstructProxy
code-creation,Builtin,3,5478,0x8f85308ede0,122,JSEntryTrampoline
code-creation,Builtin,3,5495,0x8f85308eea0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,5513,0x8f85308ef60,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,5530,0x8f85308f100,17,InterruptCheck
code-creation,Builtin,3,5546,0x8f85308f160,17,StackCheck
code-creation,Builtin,3,5563,0x8f85308f1c0,727,StringCharAt
code-creation,Builtin,3,5579,0x8f85308f4e0,838,StringCodePointAtUTF16
code-creation,Builtin,3,5596,0x8f85308f880,846,StringCodePointAtUTF32
code-creation,Builtin,3,5613,0x8f85308fc20,592,StringEqual
code-creation,Builtin,3,5630,0x8f85308fec0,272,StringGreaterThan
code-creation,Builtin,3,5646,0x8f853090020,272,StringGreaterThanOrEqual
code-creation,Builtin,3,5664,0x8f853090180,1052,StringIndexOf
code-creation,Builtin,3,5680,0x8f8530905e0,272,StringLessThan
code-creation,Builtin,3,5697,0x8f853090740,272,StringLessThanOrEqual
code-creation,Builtin,3,5714,0x8f8530908a0,190,StringRepeat
code-creation,Builtin,3,5731,0x8f8530909a0,3006,StringSubstring
