v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,3491,0x13fac0d09e60,1396,RecordWrite
code-creation,Builtin,3,3536,0x13fac0d0a420,32,AdaptorWithExitFrame
code-creation,Builtin,3,3551,0x13fac0d0a480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3565,0x13fac0d0a4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3578,0x13fac0d0a620,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3592,0x13fac0d0a740,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3607,0x13fac0d0a8a0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3620,0x13fac0d0aa20,139,CallBoundFunction
code-creation,Builtin,3,3633,0x13fac0d0ab00,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3646,0x13fac0d0abc0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3659,0x13fac0d0ac80,120,Call_ReceiverIsAny
code-creation,Builtin,3,3672,0x13fac0d0ad40,1008,CallProxy
code-creation,Builtin,3,3685,0x13fac0d0b180,81,CallVarargs
code-creation,Builtin,3,3697,0x13fac0d0b220,1380,CallWithSpread
code-creation,Builtin,3,3710,0x13fac0d0b7e0,1364,CallWithArrayLike
code-creation,Builtin,3,3723,0x13fac0d0bd80,102,CallForwardVarargs
code-creation,Builtin,3,3736,0x13fac0d0be40,102,CallFunctionForwardVarargs
code-creation,Builtin,3,3749,0x13fac0d0bf00,26,ConstructFunction
code-creation,Builtin,3,3761,0x13fac0d0bf60,139,ConstructBoundFunction
code-creation,Builtin,3,3774,0x13fac0d0c040,43,ConstructedNonConstructable
code-creation,Builtin,3,3788,0x13fac0d0c0c0,86,Construct
code-creation,Builtin,3,3800,0x13fac0d0c160,81,ConstructVarargs
code-creation,Builtin,3,3813,0x13fac0d0c200,1396,ConstructWithSpread
code-creation,Builtin,3,3826,0x13fac0d0c7c0,1444,ConstructWithArrayLike
code-creation,Builtin,3,3839,0x13fac0d0cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,3852,0x13fac0d0cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,3866,0x13fac0d0cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,3879,0x13fac0d0d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,3892,0x13fac0d0d1c0,721,FastNewObject
code-creation,Builtin,3,3904,0x13fac0d0d4e0,355,FastNewClosure
code-creation,Builtin,3,3917,0x13fac0d0d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,3930,0x13fac0d0d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,3944,0x13fac0d0d920,246,CreateRegExpLiteral
code-creation,Builtin,3,3957,0x13fac0d0da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,3970,0x13fac0d0dd40,1536,CreateShallowArrayLiteral
code-creation,Builtin,3,3984,0x13fac0d0e380,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,3998,0x13fac0d0e9a0,1004,ConstructProxy
code-creation,Builtin,3,4010,0x13fac0d0ede0,122,JSEntryTrampoline
code-creation,Builtin,3,4023,0x13fac0d0eea0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,4036,0x13fac0d0ef60,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,4049,0x13fac0d0f100,17,InterruptCheck
code-creation,Builtin,3,4061,0x13fac0d0f160,17,StackCheck
code-creation,Builtin,3,4074,0x13fac0d0f1c0,727,StringCharAt
code-creation,Builtin,3,4086,0x13fac0d0f4e0,838,StringCodePointAtUTF16
code-creation,Builtin,3,4099,0x13fac0d0f880,846,StringCodePointAtUTF32
code-creation,Builtin,3,4112,0x13fac0d0fc20,592,StringEqual
