v8-version,6,7,288,49,-node.15,0
code-creation,Builtin,3,5236,0x3bfb5670be60,1396,RecordWrite
code-creation,Builtin,3,5281,0x3bfb5670c420,32,AdaptorWithExitFrame
code-creation,Builtin,3,5298,0x3bfb5670c480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,5313,0x3bfb5670c4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,5328,0x3bfb5670c620,197,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,5344,0x3bfb5670c740,266,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,5361,0x3bfb5670c8a0,288,CallFunction_ReceiverIsAny
code-creation,Builtin,3,5376,0x3bfb5670ca00,139,CallBoundFunction
code-creation,Builtin,3,5390,0x3bfb5670cae0,121,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,5405,0x3bfb5670cba0,121,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,5420,0x3bfb5670cc60,121,Call_ReceiverIsAny
code-creation,Builtin,3,5435,0x3bfb5670cd20,1012,CallProxy
code-creation,Builtin,3,5453,0x3bfb5670d160,81,CallVarargs
code-creation,Builtin,3,5467,0x3bfb5670d200,1380,CallWithSpread
code-creation,Builtin,3,5482,0x3bfb5670d7c0,1364,CallWithArrayLike
code-creation,Builtin,3,5496,0x3bfb5670dd60,102,CallForwardVarargs
code-creation,Builtin,3,5510,0x3bfb5670de20,102,CallFunctionForwardVarargs
code-creation,Builtin,3,5525,0x3bfb5670dee0,27,ConstructFunction
code-creation,Builtin,3,5539,0x3bfb5670df40,139,ConstructBoundFunction
code-creation,Builtin,3,5553,0x3bfb5670e020,43,ConstructedNonConstructable
code-creation,Builtin,3,5568,0x3bfb5670e0a0,79,Construct
code-creation,Builtin,3,5582,0x3bfb5670e140,81,ConstructVarargs
code-creation,Builtin,3,5596,0x3bfb5670e1e0,1396,ConstructWithSpread
code-creation,Builtin,3,5611,0x3bfb5670e7a0,1444,ConstructWithArrayLike
code-creation,Builtin,3,5626,0x3bfb5670eda0,156,ConstructForwardVarargs
code-creation,Builtin,3,5641,0x3bfb5670ee80,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,5656,0x3bfb5670ef60,254,JSConstructStubGenericRestrictedReturn
code-creation,Builtin,3,5672,0x3bfb5670f0a0,273,JSConstructStubGenericUnrestrictedReturn
code-creation,Builtin,3,5688,0x3bfb5670f200,161,JSBuiltinsConstructStub
code-creation,Builtin,3,5703,0x3bfb5670f300,721,FastNewObject
code-creation,Builtin,3,5717,0x3bfb5670f620,355,FastNewClosure
code-creation,Builtin,3,5731,0x3bfb5670f7e0,251,FastNewFunctionContextEval
code-creation,Builtin,3,5746,0x3bfb5670f920,247,FastNewFunctionContextFunction
code-creation,Builtin,3,5761,0x3bfb5670fa60,246,CreateRegExpLiteral
code-creation,Builtin,3,5775,0x3bfb5670fba0,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,5791,0x3bfb5670fe80,1536,CreateShallowArrayLiteral
code-creation,Builtin,3,5806,0x3bfb567104c0,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,5822,0x3bfb56710ae0,1004,ConstructProxy
code-creation,Builtin,3,5836,0x3bfb56710f20,122,JSEntryTrampoline
code-creation,Builtin,3,5850,0x3bfb56710fe0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,5865,0x3bfb567110a0,322,ResumeGeneratorTrampoline
code-creation,Builtin,3,5880,0x3bfb56711240,17,InterruptCheck
code-creation,Builtin,3,5893,0x3bfb567112a0,17,StackCheck
code-creation,Builtin,3,5907,0x3bfb56711300,727,StringCharAt
code-creation,Builtin,3,5921,0x3bfb56711620,838,StringCodePointAtUTF16
code-creation,Builtin,3,5936,0x3bfb567119c0,846,StringCodePointAtUTF32
code-creation,Builtin,3,5950,0x3bfb56711d60,592,StringEqual
code-creation,Builtin,3,5964,0x3bfb56712000,272,StringGreaterThan
code-creation,Builtin,3,5978,0x3bfb56712160,272,StringGreaterThanOrEqual
code-creation,Builtin,3,5992,0x3bfb567122c0,1052,StringIndexOf
code-creation,Builtin,3,6006,0x3bfb56712720,272,StringLessThan
code-creation,Builtin,3,6020,0x3bfb56712880,272,StringLessThanOrEqual
code-creation,Builtin,3,6035,0x3bfb567129e0,198,StringRepeat
code-creation,Builtin,3,6050,0x3bfb56712b00,3006,StringSubstring
code-creation,Builtin,3,6064,0x3bfb56713700,72,OrderedHashTableHealIndex
code-creation,Builtin,3,6079,0x3bfb567137a0,808,InterpreterEntryTrampoline
code-creation,Builtin,3,6094,0x3bfb56713b20,89,InterpreterPushArgsThenCall
code-creation,Builtin,3,6108,0x3bfb56713bc0,97,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,6145,0x3bfb56713c80,94,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,6161,0x3bfb56713d20,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,6176,0x3bfb56713dc0,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,6192,0x3bfb56713e60,89,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,6208,0x3bfb56713f00,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,6223,0x3bfb56714020,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,6238,0x3bfb567140c0,75,InterpreterOnStackReplacement
code-creation,Builtin,3,6253,0x3bfb56714160,811,CompileLazy
code-creation,Builtin,3,6267,0x3bfb567144e0,898,CompileLazyDeoptimizedCode
code-creation,Builtin,3,6282,0x3bfb5670bd40,201,DeserializeLazy
code-creation,Builtin,3,6296,0x3bfb567148c0,163,InstantiateAsmJs
code-creation,Builtin,3,6310,0x3bfb567149c0,47,NotifyDeoptimized
code-creation,Builtin,3,6324,0x3bfb56714a40,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,6338,0x3bfb56714ac0,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,6353,0x3bfb56714b40,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,6367,0x3bfb56714bc0,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,6382,0x3bfb56714c40,70,OnStackReplacement
code-creation,Builtin,3,6396,0x3bfb56714ce0,15,HandleApiCall
code-creation,Builtin,3,6410,0x3bfb56714d40,15,HandleApiCallAsFunction
code-creation,Builtin,3,6424,0x3bfb56714da0,15,HandleApiCallAsConstructor
code-creation,Builtin,3,6438,0x3bfb56714e00,29,AllocateInNewSpace
code-creation,Builtin,3,6452,0x3bfb56714e60,36,AllocateInOldSpace
code-creation,Builtin,3,6467,0x3bfb56714ee0,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,6482,0x3bfb56715280,544,GrowFastDoubleElements
code-creation,Builtin,3,6496,0x3bfb567154e0,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,6511,0x3bfb56715720,359,NewArgumentsElements
code-creation,Builtin,3,6525,0x3bfb567158e0,452,DebugBreakTrampoline
code-creation,Builtin,3,6539,0x3bfb56715b00,122,FrameDropperTrampoline
code-creation,Builtin,3,6554,0x3bfb56715bc0,62,HandleDebuggerStatement
code-creation,Builtin,3,6568,0x3bfb56715c40,402,ToObject
code-creation,Builtin,3,6582,0x3bfb56715e20,151,ToBoolean
code-creation,Builtin,3,6595,0x3bfb56715f00,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,6610,0x3bfb56716060,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,6624,0x3bfb567161c0,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,6639,0x3bfb56716300,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,6654,0x3bfb56716440,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,6669,0x3bfb56716580,95,StringToNumber
code-creation,Builtin,3,6683,0x3bfb56716620,103,ToName
code-creation,Builtin,3,6696,0x3bfb567166e0,317,NonNumberToNumber
code-creation,Builtin,3,6710,0x3bfb56716860,333,NonNumberToNumeric
code-creation,Builtin,3,6724,0x3bfb56716a00,269,ToNumber
code-creation,Builtin,3,6738,0x3bfb56716b60,361,ToNumeric
code-creation,Builtin,3,6751,0x3bfb56716d20,219,NumberToString
