v8-version,6,7,288,49,-node.15,0
code-creation,Builtin,3,4242,0x2d2952b0be60,1396,RecordWrite
code-creation,Builtin,3,4287,0x2d2952b0c420,32,AdaptorWithExitFrame
code-creation,Builtin,3,4301,0x2d2952b0c480,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,4315,0x2d2952b0c4e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,4329,0x2d2952b0c620,197,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4343,0x2d2952b0c740,266,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4357,0x2d2952b0c8a0,288,CallFunction_ReceiverIsAny
code-creation,Builtin,3,4370,0x2d2952b0ca00,139,CallBoundFunction
code-creation,Builtin,3,4382,0x2d2952b0cae0,121,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,4395,0x2d2952b0cba0,121,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,4409,0x2d2952b0cc60,121,Call_ReceiverIsAny
code-creation,Builtin,3,4422,0x2d2952b0cd20,1012,CallProxy
code-creation,Builtin,3,4437,0x2d2952b0d160,81,CallVarargs
code-creation,Builtin,3,4450,0x2d2952b0d200,1380,CallWithSpread
code-creation,Builtin,3,4463,0x2d2952b0d7c0,1364,CallWithArrayLike
code-creation,Builtin,3,4475,0x2d2952b0dd60,102,CallForwardVarargs
code-creation,Builtin,3,4488,0x2d2952b0de20,102,CallFunctionForwardVarargs
code-creation,Builtin,3,4501,0x2d2952b0dee0,27,ConstructFunction
code-creation,Builtin,3,4513,0x2d2952b0df40,139,ConstructBoundFunction
code-creation,Builtin,3,4526,0x2d2952b0e020,43,ConstructedNonConstructable
code-creation,Builtin,3,4539,0x2d2952b0e0a0,79,Construct
code-creation,Builtin,3,4551,0x2d2952b0e140,81,ConstructVarargs
code-creation,Builtin,3,4564,0x2d2952b0e1e0,1396,ConstructWithSpread
code-creation,Builtin,3,4577,0x2d2952b0e7a0,1444,ConstructWithArrayLike
code-creation,Builtin,3,4590,0x2d2952b0eda0,156,ConstructForwardVarargs
code-creation,Builtin,3,4603,0x2d2952b0ee80,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,4617,0x2d2952b0ef60,254,JSConstructStubGenericRestrictedReturn
